,id,groups,age,healthy_eating,active_lifestyle,Salary,purchase_value
669,1669,O,62,7,8,3040.4,1960
670,1670,AB,37,10,6,5469.2,2246
671,1671,B,37,8,7,3934.7,2047
672,1672,A,50,5,7,2016.3,2182
673,1673,A,49,7,6,3550.8,1700
674,1674,A,46,8,4,4700.3,2075
675,1675,O,52,5,7,2016.3,1835
676,1676,O,30,3,5,1247.4,1718
677,1677,O,50,7,7,3295.6,1831
678,1678,AB,51,5,8,1761.1,2220
679,1679,B,50,5,6,2271.5,1965
680,1680,A,41,5,7,2016.3,2272
681,1681,A,30,5,9,1505.9,2119
682,1682,A,34,2,3,1118.7,2071
683,1683,O,22,4,4,2142.8,1720
684,1684,O,19,5,2,3292.3,2147
685,1685,O,62,3,7,737,1843
686,1686,AB,29,4,3,2396.9,2001
687,1687,B,33,6,6,2910.6,1768
688,1688,A,19,6,6,2910.6,2080
689,1689,A,40,7,5,3806,1876
690,1690,A,44,3,5,1247.4,2157
691,1691,O,61,4,8,1122,1811
692,1692,O,28,3,6,992.2,1872
693,1693,O,60,5,9,1505.9,1702
694,1694,AB,34,4,7,1377.2,1860
695,1695,B,45,6,6,2910.6,1968
696,1696,A,62,5,5,2526.7,1785
697,1697,A,32,6,9,2145,2118
698,1698,A,48,3,6,992.2,2217
699,1699,O,41,2,6,856.9,1995
700,1700,O,29,3,4,1502.6,1999
701,1701,O,64,6,5,3165.8,2210
702,1702,AB,30,5,6,2271.5,1768
703,1703,B,61,5,7,2016.3,2311
704,1704,A,57,4,1,2907.3,1948
705,1705,A,26,5,5,2526.7,2193
706,1706,A,64,2,3,1118.7,2084
707,1707,O,25,7,3,4315.3,2059
708,1708,O,26,5,4,2781.9,2153
709,1709,O,42,2,4,863.5,2038
710,1710,AB,61,7,6,3550.8,2091
711,1711,B,25,5,4,2781.9,1752
712,1712,A,28,4,4,2142.8,1716
713,1713,A,23,6,7,2655.4,2004
714,1714,A,52,8,5,4445.1,1917
715,1715,O,46,5,8,1761.1,2082
716,1716,O,54,7,6,3550.8,2169
717,1717,O,63,1,3,731.5,1792
718,1718,AB,32,5,6,2271.5,1971
719,1719,B,54,3,7,737,1826
720,1720,A,50,5,8,1761.1,1845
721,1721,A,62,2,5,608.3,1841
722,1722,A,36,5,9,1505.9,1927
723,1723,O,33,5,5,2526.7,2056
724,1724,O,32,7,5,3806,2089
725,1725,O,60,5,9,1505.9,1842
726,1726,AB,26,4,1,2907.3,1949
727,1727,B,54,3,7,737,1768
728,1728,A,51,2,8,1367.3,2194
729,1729,A,46,5,8,1761.1,2220
730,1730,A,49,7,10,2530,2045
731,1731,O,48,2,8,1367.3,1840
732,1732,O,28,6,4,3421,1962
733,1733,O,36,5,7,2016.3,1765
734,1734,AB,33,8,8,3679.5,1979
735,1735,B,37,7,7,3295.6,1852
736,1736,A,28,6,3,3676.2,2106
737,1737,A,22,8,4,4700.3,2243
738,1738,A,24,5,9,1505.9,1755
739,1739,O,27,6,6,2910.6,1830
740,1740,O,20,8,5,4445.1,2310
741,1741,O,40,5,6,2271.5,2148
742,1742,AB,33,9,4,5339.4,1874
743,1743,B,53,5,4,2781.9,1766
744,1744,A,63,5,7,2016.3,1841
745,1745,A,33,3,6,992.2,2244
746,1746,A,38,6,6,2910.6,1705
747,1747,O,28,5,3,3037.1,2241
748,1748,O,52,1,6,1496,1908
749,1749,O,56,7,8,3040.4,1817
750,1750,AB,35,6,7,2655.4,2000
751,1751,B,35,3,8,728.2,2272
752,1752,A,48,7,7,3295.6,2036
753,1753,A,41,5,7,2016.3,2158
754,1754,A,21,5,5,2526.7,1779
755,1755,O,39,6,5,3165.8,2068
756,1756,O,47,3,7,737,2319
757,1757,O,35,6,9,2145,1859
758,1758,AB,41,4,9,866.8,1792
759,1759,B,41,0,7,2391.4,2050
760,1760,A,57,7,7,3295.6,2182
761,1761,A,21,2,4,863.5,2236
762,1762,A,24,5,5,2526.7,2266
763,1763,O,49,6,10,1889.8,1826
764,1764,O,53,4,5,1887.6,1826
765,1765,O,52,7,4,4060.1,1883
766,1766,AB,60,4,7,1377.2,2251
767,1767,B,25,5,6,2271.5,1778
768,1768,A,49,4,8,1122,2033
769,1769,A,39,5,4,2781.9,1945
770,1770,A,23,8,5,4445.1,1850
771,1771,O,37,7,9,2785.2,2061
772,1772,O,31,5,8,1761.1,2242
773,1773,O,29,8,8,3679.5,1886
774,1774,AB,61,3,6,992.2,2018
775,1775,B,52,6,9,2145,1800
776,1776,A,34,5,7,2016.3,1757
777,1777,A,26,1,6,1496,2028
778,1778,A,20,3,6,992.2,1817
779,1779,O,59,4,7,1377.2,1771
780,1780,O,35,7,3,4315.3,2304
781,1781,O,37,6,6,2910.6,2107
782,1782,AB,18,5,7,2016.3,1837
783,1783,B,35,5,9,1505.9,1870
784,1784,A,60,4,7,1377.2,2207
785,1785,A,31,3,4,1502.6,2058
786,1786,A,25,3,4,1502.6,1922
787,1787,O,39,5,7,2016.3,1886
788,1788,O,50,6,7,2655.4,2088
789,1789,O,40,2,6,856.9,1815
790,1790,AB,58,8,8,3679.5,1936
791,1791,B,18,7,3,4315.3,1762
792,1792,A,40,6,6,2910.6,1910
793,1793,A,40,4,6,1632.4,1909
794,1794,A,42,5,6,2271.5,2296
795,1795,O,42,6,5,3165.8,1884
796,1796,O,25,6,5,3165.8,1906
797,1797,O,53,6,8,2400.2,2144
798,1798,AB,40,6,7,2655.4,2243
799,1799,B,62,7,3,4315.3,1705
800,1800,A,35,8,4,4700.3,2216
801,1801,A,62,4,6,1632.4,1778
802,1802,A,38,5,6,2271.5,2162
803,1803,O,50,8,8,3679.5,1756
804,1804,O,51,7,5,3806,1776
805,1805,O,28,6,6,2910.6,2204
806,1806,AB,58,6,6,2910.6,2191
807,1807,B,18,8,3,4955.5,1781
808,1808,A,44,5,6,2271.5,2234
809,1809,A,37,8,8,3679.5,2212
810,1810,A,51,5,6,2271.5,1933
811,1811,O,27,4,8,1122,2183
812,1812,O,50,2,6,856.9,1785
813,1813,O,62,6,4,3421,2128
814,1814,AB,36,4,6,1632.4,1711
815,1815,B,33,7,4,4060.1,2069
816,1816,A,60,3,6,992.2,1958
817,1817,A,35,5,6,2271.5,2199
818,1818,A,45,8,8,3679.5,1908
819,1819,O,61,6,7,2655.4,1851
820,1820,O,60,6,7,2655.4,2170
821,1821,O,46,6,3,3676.2,1756
822,1822,AB,61,8,5,4445.1,2182
823,1823,B,34,7,5,3806,2180
824,1824,A,28,2,8,1367.3,2193
825,1825,A,47,5,3,3037.1,2219
826,1826,A,32,4,9,866.8,2303
827,1827,O,27,3,4,1502.6,1793
828,1828,O,28,5,9,1505.9,2004
829,1829,O,51,6,6,2910.6,1934
830,1830,AB,62,7,10,2530,1920
831,1831,B,41,0,4,1625.8,1785
832,1832,A,47,4,8,1122,2313
833,1833,A,52,8,8,3679.5,1768
834,1834,A,61,7,6,3550.8,2168
835,1835,O,39,7,5,3806,1899
836,1836,O,41,4,1,2907.3,2036
837,1837,O,40,4,8,1122,1918
838,1838,AB,63,4,7,1377.2,2291
839,1839,B,27,5,5,2526.7,1767
840,1840,A,31,6,8,2400.2,2291
841,1841,A,33,6,6,2910.6,2287
842,1842,A,61,4,7,1377.2,1731
843,1843,O,41,5,6,2271.5,2171
844,1844,O,18,1,5,1240.8,2252
845,1845,O,46,3,9,983.4,2216
846,1846,AB,32,3,9,983.4,1851
847,1847,B,32,9,7,4573.8,2285
848,1848,A,58,5,7,2016.3,1799
849,1849,A,59,7,8,3040.4,1795
850,1850,A,45,4,8,1122,1804
851,1851,O,36,4,1,2907.3,1914
852,1852,O,42,3,5,1247.4,1973
853,1853,O,54,3,5,1247.4,1786
854,1854,AB,26,8,3,4955.5,2122
855,1855,B,35,9,7,4573.8,2275
856,1856,A,22,6,3,3676.2,2031
857,1857,A,43,3,5,1247.4,2122
858,1858,A,44,3,5,1247.4,1753
859,1859,O,41,3,8,728.2,2148
860,1860,O,30,5,2,3292.3,1897
861,1861,O,33,5,8,1761.1,2172
862,1862,AB,63,6,7,2655.4,2208
863,1863,B,47,6,9,2145,2169
864,1864,A,22,5,2,3292.3,1981
865,1865,A,48,4,5,1887.6,2000
866,1866,A,57,6,6,2910.6,1771
867,1867,O,55,5,7,2016.3,1866
868,1868,O,47,3,3,1757.8,2108
869,1869,O,42,5,4,2781.9,1946
870,1870,AB,40,4,4,2142.8,2292
871,1871,B,21,5,3,3037.1,1829
872,1872,A,19,4,4,2142.8,2212
873,1873,A,18,0,3,1370.6,2297
874,1874,A,36,2,2,1373.9,2302
875,1875,O,48,2,6,856.9,2031
876,1876,O,42,6,2,3931.4,2078
877,1877,O,30,3,8,728.2,1883
878,1878,AB,32,1,7,1751.2,2087
879,1879,B,30,6,2,3931.4,2007
880,1880,A,30,10,4,5978.5,1732
881,1881,A,44,6,5,3165.8,1814
882,1882,A,30,2,4,863.5,2268
883,1883,O,47,8,8,3679.5,2089
884,1884,O,28,4,6,1632.4,1913
885,1885,O,33,7,6,3550.8,1839
886,1886,AB,34,7,5,3806,1963
887,1887,B,26,2,8,1367.3,1979
888,1888,A,39,3,8,728.2,2322
889,1889,A,25,6,6,2910.6,2150
890,1890,A,44,6,9,2145,2103
891,1891,O,55,4,6,1632.4,1920
892,1892,O,18,1,6,1496,2147
893,1893,O,49,6,7,2655.4,2182
894,1894,AB,57,4,5,1887.6,1962
895,1895,B,30,9,5,5084.2,2073
896,1896,A,33,5,3,3037.1,2045
897,1897,A,59,5,4,2781.9,1799
898,1898,A,48,1,9,2261.6,1907
899,1899,O,42,7,9,2785.2,1864
900,1900,O,39,6,6,2910.6,2243
901,1901,O,50,7,3,4315.3,2088
902,1902,AB,31,2,3,1118.7,1845
903,1903,B,28,8,7,3934.7,1709
904,1904,A,56,6,5,3165.8,1911
905,1905,A,46,8,7,3934.7,2135
906,1906,A,38,3,4,1502.6,2037
907,1907,O,35,4,7,1377.2,2090
908,1908,O,25,2,5,608.3,1930
909,1909,O,35,3,6,992.2,1701
910,1910,AB,21,2,5,608.3,1754
911,1911,B,59,6,6,2910.6,2133
912,1912,A,24,5,3,3037.1,1887
913,1913,A,64,6,5,3165.8,1884
914,1914,A,19,5,1,3547.5,1767
915,1915,O,45,9,6,4829,1802
916,1916,O,19,4,6,1632.4,1811
917,1917,O,38,4,7,1377.2,2047
918,1918,AB,25,9,6,4829,1952
919,1919,B,26,4,6,1632.4,1867
920,1920,A,64,5,4,2781.9,2151
921,1921,A,43,3,7,737,2186
922,1922,A,22,4,4,2142.8,1771
923,1923,O,32,7,6,3550.8,2182
924,1924,O,57,3,8,728.2,1790
925,1925,O,57,2,7,1112.1,2094
926,1926,AB,34,4,3,2396.9,2212
927,1927,B,56,2,5,608.3,2021
928,1928,A,44,6,6,2910.6,1964
929,1929,A,26,7,8,3040.4,2034
930,1930,A,58,4,6,1632.4,1998
931,1931,O,39,6,5,3165.8,2113
932,1932,O,25,6,6,2910.6,1999
933,1933,O,59,7,4,4060.1,2046
934,1934,AB,24,8,8,3679.5,1718
935,1935,B,48,6,7,2655.4,2309
936,1936,A,49,4,7,1377.2,2163
937,1937,A,25,7,6,3550.8,2145
938,1938,A,26,2,4,863.5,2282
939,1939,O,54,6,7,2655.4,2232
940,1940,O,24,6,7,2655.4,2122
941,1941,O,54,7,4,4060.1,1996
942,1942,AB,41,6,3,3676.2,2035
943,1943,B,54,3,8,728.2,2212
944,1944,A,46,2,8,1367.3,1945
945,1945,A,56,5,7,2016.3,1899
946,1946,A,18,2,6,856.9,1751
947,1947,O,26,10,4,5978.5,2074
948,1948,O,31,6,5,3165.8,1806
949,1949,O,55,4,6,1632.4,1868
950,1950,AB,45,4,9,866.8,2063
951,1951,B,59,7,7,3295.6,2271
952,1952,A,36,4,5,1887.6,2171
953,1953,A,19,10,8,4958.8,1917
954,1954,A,60,8,6,4189.9,2090
955,1955,O,31,5,7,2016.3,2018
956,1956,O,23,6,2,3931.4,1754
957,1957,O,39,5,4,2781.9,2046
958,1958,AB,55,2,7,1112.1,2179
959,1959,B,29,6,0,4441.8,2025
960,1960,A,57,2,6,856.9,1786
961,1961,A,38,3,3,1757.8,2202
962,1962,A,46,7,5,3806,1956
963,1963,O,54,4,3,2396.9,1768
964,1964,O,61,5,6,2271.5,2141
965,1965,O,43,7,8,3040.4,1776
966,1966,AB,32,8,5,4445.1,2276
967,1967,B,62,4,7,1377.2,2132
968,1968,A,39,4,6,1632.4,1743
969,1969,A,45,4,7,1377.2,2038
970,1970,A,36,4,8,1122,2088
971,1971,O,33,2,8,1367.3,1971
972,1972,O,56,6,3,3676.2,2302
973,1973,O,47,3,6,992.2,1920
974,1974,AB,64,10,5,5724.4,2110
975,1975,B,43,4,6,1632.4,1787
976,1976,A,20,6,4,3421,2058
977,1977,A,59,2,6,856.9,1989
978,1978,A,61,3,6,992.2,2292
979,1979,O,18,7,8,3040.4,2137
980,1980,O,58,5,5,2526.7,1953
981,1981,O,31,5,9,1505.9,1982
982,1982,AB,50,9,5,5084.2,2200
983,1983,B,29,5,6,2271.5,1762
984,1984,A,32,3,9,983.4,2228
985,1985,A,52,4,3,2396.9,1715
986,1986,A,27,6,7,2655.4,1812
987,1987,O,50,5,5,2526.7,2318
988,1988,O,60,4,6,1632.4,1899
989,1989,O,44,3,5,1247.4,2009
990,1990,AB,20,3,4,1502.6,1796
991,1991,B,38,8,6,4189.9,2018
992,1992,A,30,6,3,3676.2,2313
993,1993,A,56,5,5,2526.7,1947
994,1994,A,52,5,7,2016.3,2062
995,1995,O,33,7,7,3295.6,1894
996,1996,O,21,1,2,733.7,2221
997,1997,O,49,9,7,4573.8,2183
998,1998,AB,56,6,7,2655.4,1842
999,1999,B,64,4,9,866.8,1856
